13/07/06	66.15	964420
14/07/06	65.2	673725
17/07/06	62.45	1250225
18/07/06	62.6	749500
19/07/06	66	972024
20/07/06	64.6	841988
21/07/06	62.7	699244
24/07/06	64.8	547245
25/07/06	65.8	530310
26/07/06	65.3	527652
27/07/06	67.05	571657
28/07/06	69	6066011
31/07/06	67.95	1245206
01/08/06	66.5	948851
02/08/06	68.2	674351
03/08/06	66.85	609899
04/08/06	68.5	490596
07/08/06	66.6	364263
08/08/06	66.9	417384
09/08/06	68.75	624966
10/08/06	67.25	442862
11/08/06	67.9	256714
14/08/06	68.75	390222
15/08/06	69.5	673011
16/08/06	69.5	472818
17/08/06	69.3	572173
18/08/06	69.35	619373
21/08/06	69.4	561238
22/08/06	72.35	1471060
23/08/06	72.6	1119746
24/08/06	70.7	919617
25/08/06	71	638568
28/08/06	71.75	315388
29/08/06	72.7	857653
30/08/06	75.75	1703078
31/08/06	73.6	908426
01/09/06	74.9	620058
04/09/06	76.2	692985
05/09/06	75.9	719297
06/09/06	74.2	1097351
07/09/06	73.55	808088
08/09/06	74.05	544866
11/09/06	73.2	632658
12/09/06	74.9	521131
13/09/06	74.85	355659
14/09/06	75.6	602468
15/09/06	75.55	1311316
18/09/06	75.1	502611
19/09/06	74.9	508895
20/09/06	74.85	437578
21/09/06	74.55	476198
22/09/06	72.8	917890
25/09/06	74.25	708241
26/09/06	74.55	529747
27/09/06	72.45	2220060
28/09/06	72.05	995118
29/09/06	71.35	803350
02/10/06	70.95	989621
03/10/06	70.75	787538
04/10/06	70.6	720257
05/10/06	70.95	881432
06/10/06	71.1	884217
09/10/06	70.75	773897
10/10/06	70.65	567580
11/10/06	69.5	1061939
12/10/06	69.65	1055027
13/10/06	72.35	2049443
16/10/06	72.95	772654
17/10/06	71.6	564271
18/10/06	73.15	1016551
19/10/06	71.65	931418
20/10/06	72	620456
23/10/06	72.7	586184
24/10/06	72.9	696531
25/10/06	72.5	680757
26/10/06	73.75	998998
27/10/06	74.05	748333
30/10/06	73	939437
31/10/06	72.3	565819
01/11/06	72.9	376374
02/11/06	72.55	514865
03/11/06	73.7	786155
06/11/06	75.3	844842
07/11/06	74.95	659640
08/11/06	74.5	686925
09/11/06	74.6	350368
10/11/06	75.75	821770
13/11/06	82.15	3412932
